start,end,net,acc,portfolio
2018-01-01,2018-02-01,0.01318304775746097,1.013183047757461,101318.3047757461
2018-02-01,2018-03-01,-0.005838557908347014,1.0072675198613736,100726.75198613736
2018-03-01,2018-04-01,-0.011264142116410142,0.9959215153684111,99592.1515368411
2018-04-01,2018-05-01,0.006623274811213758,1.0025177772550966,100251.77772550966
2018-05-01,2018-06-01,-0.011995999013664133,0.9904915749879637,99049.15749879637
2018-06-01,2018-07-01,0.03203642714097952,1.0222233861638195,102222.33861638195
2018-07-01,2018-08-01,0.02658862926802861,1.049402904807638,104940.29048076381
2018-08-01,2018-09-01,0.01790026091579707,1.0681874906094901,106818.749060949
2018-09-01,2018-10-01,0.026336018358887932,1.096319295972916,109631.9295972916
2018-10-01,2018-11-01,-0.001507520937002523,1.094666571680597,109466.6571680597
2018-11-01,2018-12-01,-0.009197248973699402,1.0845986506776646,108459.86506776646
2018-12-01,2019-01-01,-0.010700527707088318,1.0729928727650178,107299.28727650177
2019-01-01,2019-02-01,0.08224364275282006,1.1612397152690261,116123.9715269026
2019-02-01,2019-03-01,-0.0022340427335176194,1.1586454561212574,115864.54561212573
2019-03-01,2019-04-01,0.021627169933728197,1.1837036782937338,118370.36782937338
2019-04-01,2019-05-01,0.013801131245272429,1.2000401281133772,120004.01281133773
2019-05-01,2019-06-01,-0.009969271608088548,1.1880766021356095,118807.66021356096
2019-06-01,2019-07-01,-0.007542819908808423,1.1791151542878315,117911.51542878315
2019-07-01,2019-08-01,-0.040695706863966404,1.1311302296100734,113113.02296100734
2019-08-01,2019-09-01,0.013851775760888101,1.146798391906994,114679.8391906994
2019-09-01,2019-10-01,0.004608151455514586,1.152083012585842,115208.30125858418
2019-10-01,2019-11-01,0.002769807210306353,1.1552740604209737,115527.40604209735
2019-11-01,2019-12-01,-0.023366009855685488,1.1282799153391594,112827.99153391593
2019-12-01,2020-01-01,0.026151690479152185,1.157786342458953,115778.6342458953
2020-01-01,2020-02-01,-0.027976451181237774,1.1253955893708463,112539.55893708463
2020-02-01,2020-03-01,-0.01635894720439264,1.1069853023402723,110698.53023402722
2020-03-01,2020-04-01,-0.03770489542342996,1.0652465372802584,106524.65372802582
2020-04-01,2020-05-01,0.012634743223718218,1.0787056537487494,107870.56537487492
2020-05-01,2020-06-01,0.0038590318763952088,1.0828684132518134,108286.84132518132
2020-06-01,2020-07-01,0.06809295682201115,1.156604125359289,115660.41253592887
2020-07-01,2020-08-01,0.011201527729153754,1.1695598585411546,116955.98585411544
2020-08-01,2020-09-01,0.08012495127571018,1.2632707852207912,126327.0785220791
2020-09-01,2020-10-01,-0.01332376799993846,1.246439258357409,124643.9258357409
2020-10-01,2020-11-01,-0.03720780367070238,1.2000619911449908,120006.19911449906
2020-11-01,2020-12-01,0.029501923094812737,1.2354661277167582,123546.6127716758
