start,end,net,acc,portfolio
2017-12-01,2018-01-01,0.010085865631805455,1.0100858656318055,101008.58656318055
2018-01-01,2018-02-01,0.028254860237813754,1.0386257005934232,103862.57005934232
2018-02-01,2018-03-01,-0.05353407559086927,0.9830238338272352,98302.38338272354
2018-03-01,2018-04-01,-0.009788102595177385,0.9734018956882297,97340.18956882299
2018-04-01,2018-05-01,0.007780235115712901,0.9809751912987646,98097.51912987648
2018-05-01,2018-06-01,-0.007512285050925806,0.9736058260338418,97360.5826033842
2018-06-01,2018-07-01,0.03250724738676839,1.005255071477923,100525.50714779232
2018-07-01,2018-08-01,0.017899627970427143,1.023248763272763,102324.87632727632
2018-08-01,2018-09-01,0.020980905122857902,1.0447174484920705,104471.74484920708
2018-09-01,2018-10-01,0.029498274318735716,1.0755348103732594,107553.48103732597
2018-10-01,2018-11-01,0.005152474922884613,1.081076476512397,108107.64765123973
2018-11-01,2018-12-01,0.005550283482077527,1.0870767574228464,108707.67574228467
2018-12-01,2019-01-01,-0.0025694606643614404,1.0842835564555067,108428.3556455507
2019-01-01,2019-02-01,0.17987813784949414,1.2793224634915499,127932.24634915504
2019-02-01,2019-03-01,0.043175033408411105,1.3345572535929284,133455.7253592929
2019-03-01,2019-04-01,0.022844143045374368,1.3650440703962472,136504.40703962478
2019-04-01,2019-05-01,0.013524432372550778,1.3835055166118726,138350.55166118732
2019-05-01,2019-06-01,-0.003433841982113075,1.3787547772864457,137875.47772864462
2019-06-01,2019-07-01,-0.008514125800930025,1.3670158856639956,136701.58856639962
2019-07-01,2019-08-01,-0.003789971995525518,1.3618349337398905,136183.4933739891
2019-08-01,2019-09-01,0.0012461758221803643,1.363532019508118,136353.20195081184
2019-09-01,2019-10-01,-0.0002078587731448884,1.3632485974153992,136324.85974153996
2019-10-01,2019-11-01,-0.0009092448686611274,1.3620090706234897,136200.907062349
2019-11-01,2019-12-01,0.0,1.3620090706234897,136200.907062349
2019-12-01,2020-01-01,0.0,1.3620090706234897,136200.907062349
2020-01-01,2020-02-01,0.0,1.3620090706234897,136200.907062349
2020-02-01,2020-03-01,0.002156753827280804,1.3649465888993482,136494.65888993486
2020-03-01,2020-04-01,-0.0241825600383806,1.331938686064107,133193.86860641072
2020-04-01,2020-05-01,0.0031483296480609908,1.336132068118842,133613.2068118842
2020-05-01,2020-06-01,0.0009521483853545524,1.3374042641101218,133740.4264110122
2020-06-01,2020-07-01,0.008451937838212771,1.3487079218149414,134870.79218149415
2020-07-01,2020-08-01,0.0028439231143283237,1.3525435434482684,135254.35434482686
2020-08-01,2020-09-01,0.011351716859553922,1.3678972347937108,136789.7234793711
2020-09-01,2020-10-01,-0.003404266193958671,1.363240548480493,136324.05484804933
2020-10-01,2020-11-01,-0.12637245178300346,1.1909644979990066,119096.4497999007
2020-11-01,2020-12-01,0.03003915516630526,1.2267400653519596,122674.00653519601
